Country,srcYear,Academy,Entry,Number of Candidates under Induction,YearCode,Year
India,2018-19,NDA,Army,622,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,NDA,Navy,130,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,NDA,Air Force,131,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,IMA,IMA(DE),194,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,IMA,ACC,132,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,IMA,SCO,40,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,IMA,PC(SL),21,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,IMA,AEC,7,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,OTA,SSC(NT),111,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,OTA,SSCW(NT),26,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,OTA,NCC,64,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,OTA,NCCW,9,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,OTA,JAG,15,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,OTA,JAGW,11,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,Tech Entries,UES,18,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,Tech Entries,SSC(Tech),151,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,Tech Entries,SSCW(Tech),29,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,Tech Entries,10+2 TES,207,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,Tech Entries,TGC,87,2018,"Financial Year (Apr - Mar), 2018"
India,2017-18,NDA,Army,417,2017,"Financial Year (Apr - Mar), 2017"
India,2017-18,NDA,Navy,97,2017,"Financial Year (Apr - Mar), 2017"
India,2017-18,NDA,Air Force,115,2017,"Financial Year (Apr - Mar), 2017"
India,2017-18,IMA,IMA(DE),203,2017,"Financial Year (Apr - Mar), 2017"
India,2017-18,IMA,ACC,107,2017,"Financial Year (Apr - Mar), 2017"
India,2017-18,IMA,SCO,39,2017,"Financial Year (Apr - Mar), 2017"
India,2017-18,IMA,PC(SL),19,2017,"Financial Year (Apr - Mar), 2017"
India,2017-18,IMA,AEC,14,2017,"Financial Year (Apr - Mar), 2017"
India,2017-18,OTA,SSC(NT),135,2017,"Financial Year (Apr - Mar), 2017"
India,2017-18,OTA,SSCW(NT),19,2017,"Financial Year (Apr - Mar), 2017"
India,2017-18,OTA,NCC,75,2017,"Financial Year (Apr - Mar), 2017"
India,2017-18,OTA,NCCW,9,2017,"Financial Year (Apr - Mar), 2017"
India,2017-18,OTA,JAG,11,2017,"Financial Year (Apr - Mar), 2017"
India,2017-18,OTA,JAGW,12,2017,"Financial Year (Apr - Mar), 2017"
India,2017-18,Tech Entries,SSC(Tech),214,2017,"Financial Year (Apr - Mar), 2017"
India,2017-18,Tech Entries,SSCW(Tech),40,2017,"Financial Year (Apr - Mar), 2017"
India,2017-18,Tech Entries,10+2 TES,178,2017,"Financial Year (Apr - Mar), 2017"
India,2017-18,Tech Entries,TGC,69,2017,"Financial Year (Apr - Mar), 2017"
India,2015-16,NDA,Army,376,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,NDA,Navy,53,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,NDA,Air Force,163,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,IMA,IMA(DE),207,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,IMA,ACC,95,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,IMA,SCO,108,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,IMA,PC(SL),35,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,IMA,AEC,24,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,OTA,SSC(NT),148,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,OTA,SSCW(NT),26,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,OTA,SSCW(Tech),32,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,OTA,NCC,61,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,OTA,NCCW,8,2015,"Financial Year (Apr - Mar), 2015"
